Model,Encoding,Trace Length,F-score,Precision,Recall,Accuracy
Logistic Regression (Default),boolean,10,0.9070010334440072,0.9117647058823529,0.7948717948717948,0.9427828348504551
Decision Tree (Test),boolean,10,0.9009197198349712,0.8978102189781022,0.7884615384615384,0.9388816644993498
Decision Tree (Test),frequency,10,0.8985465819389169,0.8970588235294118,0.782051282051282,0.9375812743823146
Neural Net,boolean,10,0.8930444386871565,0.8776978417266187,0.782051282051282,0.9336801040312094
Random Forest (Default),boolean,10,0.8907661327384085,0.9007633587786259,0.7564102564102564,0.9336801040312094
Decision Tree (Val),frequency,10,0.8882161259126411,0.9418604651162791,0.7465437788018433,0.9155844155844156
Decision Tree (Val),boolean,10,0.8878333344538794,0.9470588235294117,0.7419354838709677,0.9155844155844156
Neural Net,frequency,10,0.8858314370473546,0.8531468531468531,0.782051282051282,0.9284785435630689
Neural Net (Val),frequency,10,0.881337118276496,0.9302325581395349,0.7373271889400922,0.9103896103896104
Neural Net (Val),boolean,10,0.8787189060520753,0.9147727272727273,0.7419354838709677,0.9077922077922078
Logistic Regression (Val),boolean,10,0.8778976144584234,0.9244186046511628,0.7327188940092166,0.9077922077922078
Logistic Regression (Val),frequency,10,0.8753025372084717,0.9090909090909091,0.7373271889400922,0.9051948051948052
Logistic Regression (Default),complex,8,0.8742550872093023,1.0,0.6538461538461539,0.929778933680104
Logistic Regression (Default),complex,10,0.8665857043719639,0.9622641509433962,0.6538461538461539,0.9245773732119635
Logistic Regression (Val),boolean,10,0.8657318396028797,0.926829268292683,0.7004608294930875,0.9
Neural Net,frequency,8,0.8641677163416294,0.905982905982906,0.6794871794871795,0.9206762028608583
Neural Net,complex,8,0.861985211419273,0.9528301886792453,0.6474358974358975,0.9219765929778934
Decision Tree (Val),boolean,8,0.851256423018097,0.9074074074074074,0.6774193548387096,0.8896103896103896
Decision Tree (Test),frequency,8,0.8493928711320016,0.8,0.717948717948718,0.9063719115734721
Decision Tree (Val),frequency,8,0.8492382227321986,0.906832298136646,0.6728110599078341,0.8883116883116883
Neural Net,boolean,8,0.8484671800810343,0.7902097902097902,0.7243589743589743,0.9050715214564369
Neural Net (Val),frequency,8,0.8468113591308154,0.952054794520548,0.6405529953917051,0.8896103896103896
Logistic Regression (Default),frequency,10,0.846809619156587,0.7349397590361446,0.782051282051282,0.8985695708712613
Logistic Regression (Default),boolean,8,0.8467797522886376,0.7847222222222222,0.7243589743589743,0.9037711313394018
Random Forest (Default),complex,10,0.8461615403850963,1.0,0.5897435897435898,0.9167750325097529
Neural Net (Val),boolean,8,0.8448069314890427,0.8902439024390244,0.6728110599078341,0.8844155844155844
Logistic Regression (Default),frequency,8,0.8435926471558302,0.8014705882352942,0.6987179487179487,0.9037711313394018
Decision Tree (Test),boolean,8,0.8426386645126547,0.7777777777777778,0.717948717948718,0.9011703511053316
Logistic Regression (Val),boolean,8,0.8407568764076097,0.8888888888888888,0.663594470046083,0.8818181818181818
Decision Tree (Val),complex,10,0.8380962685180838,0.7456896551724138,0.7972350230414746,0.8662337662337662
Logistic Regression (Val),frequency,8,0.8366750218382442,0.8875,0.6543778801843319,0.8792207792207792
Logistic Regression (Val),complex,8,0.8315606284514272,1.0,0.5852534562211982,0.8831168831168831
Logistic Regression (Val),complex,10,0.8315606284514272,1.0,0.5852534562211982,0.8831168831168831
Decision Tree (Test),complex,10,0.8314976043005726,0.675531914893617,0.8141025641025641,0.88296488946684
Decision Tree (Val),complex,8,0.830850309323213,0.7616822429906542,0.7511520737327189,0.8636363636363636
Logistic Regression (Val),complex,10,0.8300406282214541,0.9921875,0.5852534562211982,0.8818181818181818
Neural Net (Val),complex,8,0.8263052574131344,0.984375,0.5806451612903226,0.8792207792207792
Decision Tree (Test),complex,8,0.7930851380472183,0.6080402010050251,0.7756410256410257,0.8530559167750326
Neural Net,complex,10,0.7309538112181244,0.49382716049382713,0.7692307692307693,0.7932379713914174
Random Forest (Default),complex,8,0.7148375761896019,1.0,0.33974358974358976,0.8660598179453837
Neural Net (Val),complex,10,0.7123202372127502,0.5542635658914729,0.6589861751152074,0.7545454545454545
Random Forest (Default),frequency,10,0.7029993799273628,0.9122807017543859,0.3333333333333333,0.8582574772431729
Logistic Regression (Val),frequency,10,0.683425226329045,0.9230769230769231,0.3317972350230415,0.8038961038961039
Logistic Regression (Val),complex,8,0.6792339414272733,1.0,0.31336405529953915,0.8064935064935065
Random Forest (Default),boolean,8,0.63675757824694,0.6363636363636364,0.2692307692307692,0.8205461638491548
Logistic Regression (Val),boolean,8,0.6307201570359465,0.8260869565217391,0.2626728110599078,0.7766233766233767
Decision Tree (Test),complex,6,0.5220444326897646,0.2396694214876033,0.3717948717948718,0.6332899869960988
Neural Net (Val),complex,6,0.5132930956069961,0.302491103202847,0.391705069124424,0.574025974025974
Decision Tree (Val),complex,6,0.5085454932274307,0.2950191570881226,0.3548387096774194,0.5792207792207792
Logistic Regression (Default),boolean,6,0.506902183775936,0.4444444444444444,0.07692307692307693,0.7932379713914174
Logistic Regression (Default),frequency,6,0.49453938719789664,0.5,0.057692307692307696,0.7971391417425228
Neural Net,frequency,6,0.4914570735776557,0.6153846153846154,0.05128205128205128,0.8010403120936281
Neural Net,boolean,6,0.4914570735776557,0.6153846153846154,0.05128205128205128,0.8010403120936281
Decision Tree (Test),boolean,6,0.4900901363381631,0.5333333333333333,0.05128205128205128,0.7984395318595578
Decision Tree (Test),frequency,6,0.4887336170573165,0.47058823529411764,0.05128205128205128,0.7958387516254877
Logistic Regression (Default),complex,6,0.4762265614780534,1.0,0.03205128205128205,0.8036410923276983
Random Forest (Default),complex,6,0.4750384829894032,0.7142857142857143,0.03205128205128205,0.8010403120936281
Neural Net,complex,6,0.47173788171853936,0.16908212560386474,0.22435897435897437,0.6189856957087126
Logistic Regression (Val),boolean,6,0.46070878274268107,0.44,0.05069124423963134,0.7142857142857143
Random Forest (Default),frequency,8,0.44356005788712016,0.0,0.0,0.7971391417425228
Random Forest (Default),frequency,6,0.44356005788712016,0.0,0.0,0.7971391417425228
Random Forest (Default),boolean,6,0.44356005788712016,0.0,0.0,0.7971391417425228
Logistic Regression (Val),frequency,6,0.4434396224089748,0.5,0.027649769585253458,0.7181818181818181
Logistic Regression (Val),complex,6,0.43257575757575756,1.0,0.013824884792626729,0.7220779220779221
Neural Net (Val),boolean,6,0.43257575757575756,1.0,0.013824884792626729,0.7220779220779221
Decision Tree (Val),frequency,6,0.43207352340831356,0.75,0.013824884792626729,0.7207792207792207
Decision Tree (Val),boolean,6,0.431571176639462,0.6,0.013824884792626729,0.7194805194805195
Neural Net (Val),frequency,6,0.43106870826821386,0.5,0.013824884792626729,0.7181818181818181
Logistic Regression (Val),complex,6,0.42727272727272725,0.6666666666666666,0.009216589861751152,0.7194805194805195
Logistic Regression (Val),frequency,6,0.41798941798941797,0.0,0.0,0.7181818181818181
Logistic Regression (Val),frequency,8,0.41798941798941797,0.0,0.0,0.7181818181818181
Logistic Regression (Val),boolean,6,0.41798941798941797,0.0,0.0,0.7181818181818181
